 51
  1  25501  1  20.  20. 0. 0.08 0. 0. 0. 0. 0. 0.   0. 0. 0.00 2.00 0. 0. 0. 0. 0. 0.099   0. 0. 0. 0. 0. 0. 7. 0. 0. 0. 0. 0.
  2  25502  1  20.  20. 0. 0.08 0. 0. 0. 0. 0. 0.   0. 0. 0.00 2.00 0. 0. 0. 0. 0. 0.099   0. 0. 0. 0. 0. 0. 7. 0. 0. 0. 0. 0.
  3  25503  1  20.  20. 0. 0.08 0. 0. 0. 0. 0. 0.   0. 0. 0.00 2.00 0. 0. 0. 0. 0. 0.099   0. 0. 0. 0. 0. 0. 7. 0. 0. 0. 0. 0.
  4  25504  1  20.  20. 0. 0.08 0. 0. 0. 0. 0. 0.   0. 0. 0.00 2.00 0. 0. 0. 0. 0. 0.099   0. 0. 0. 0. 0. 0. 7. 0. 0. 0. 0. 0.
  5  25505  1  20.  20. 0. 0.08 0. 0. 0. 0. 0. 0.   0. 0. 0.00 2.00 0. 0. 0. 0. 0. 0.099   0. 0. 0. 0. 0. 0. 7. 0. 0. 0. 0. 0.
  6  25506  1  20.  20. 0. 0.08 0. 0. 0. 0. 0. 0.   0. 0. 0.00 2.00 0. 0. 0. 0. 0. 0.099   0. 0. 0. 0. 0. 0. 7. 0. 0. 0. 0. 0.
  7  25507  1  20.  20. 0. 0.08 0. 0. 0. 0. 0. 0.   0. 0. 0.00 2.00 0. 0. 0. 0. 0. 0.099   0. 0. 0. 0. 0. 0. 7. 0. 0. 0. 0. 0.
  8  25508  1  20.  20. 0. 0.08 0. 0. 0. 0. 0. 0.   0. 0. 0.00 2.00 0. 0. 0. 0. 0. 0.099   0. 0. 0. 0. 0. 0. 7. 0. 0. 0. 0. 0.
  9  25509  1  20.  20. 0. 0.08 0. 0. 0. 0. 0. 0.   0. 0. 0.00 2.00 0. 0. 0. 0. 0. 0.099   0. 0. 0. 0. 0. 0. 7. 0. 0. 0. 0. 0.
 10  25510  1  20.  20. 0. 0.08 0. 0. 0. 0. 0. 0.   0. 0. 0.00 2.00 0. 0. 0. 0. 0. 0.099   0. 0. 0. 0. 0. 0. 7. 0. 0. 0. 0. 0.
